image_id,original_caption,generated_caption
1010031975.jpg,"એક ખુલ્લી વાનની પાછળ સફેદ શર્ટ, ટાઈ અને કાળા પેન્ટ પહેરેલા પાંચ માણસો વાત કરી રહ્યા છે.",સફેદ ટી-શર્ટ અને કાળા પેન્ટ પહેરેલા ત્રણ માણસો ફૂટપાથ પર ઉભા છે.
1010087179.jpg,પાછળની ટોપી પહેરેલો એક કાળો રંગનો માણસ ફેક્ટરીમાંથી પસાર થતો કેમેરા તરફ જોઈ રહ્યો છે.,એક માણસ મશીન પર કામ કરી રહ્યો છે.
1010087623.jpg,"એક કન્વેયર પર કામ કરી રહેલા એક કોકેશિયન પુરુષ, ટૂંકી બાંયનો કાળો શર્ટ પહેરેલો અને એક કાળી ચામડીવાળી સ્ત્રી, બાંય વગરનો ડ્રેસ પહેરેલો.",એક પુરુષ અને એક સ્ત્રી મશીન પર કામ કરી રહ્યા છે.
10101477.jpg,"વાદળી અને સફેદ પોશાક પહેરેલો માણસ, હાથમાં સાવરણી પકડીને, પૃષ્ઠભૂમિમાં પરંપરાગત એશિયન સ્થાપત્ય સાથે.",એક પુરુષ અને એક સ્ત્રી રસ્તા સાફ કરી રહ્યા છે.
1010470346.jpg,"ફ્લોરોસન્ટ જેકેટ પહેરેલા બે પુરુષો એક નાની ઇમારતની સામે પાર્ક કરેલી કારની બાજુમાં ઉભા છે, જેમાંથી એક ડ્રાઇવર સાથે વાત કરી રહ્યો છે અને એક મહિલા બાઇક પર સવારી કરતી દેખાય છે.",બે માણસો એક ઘરની બહાર ઉભા છે.
1010673430.jpg,ગુલાબી શર્ટ પહેરેલી એક નાની છોકરી અને નારંગી શર્ટ પહેરેલી એક નાની છોકરી ઘાસમાં બેઠી છે.,બે નાની છોકરીઓ ઘાસમાં બેઠી છે.
101093029.jpg,ભૂરા રંગના પેન્ટ પહેરેલો એક વ્યક્તિ ચાંદીના ફરતા પદાર્થની અંદર છે જ્યારે લોકો જોઈ રહ્યા છે.,લોકો મોટરસાયકલ પર બેઠા છે.
101093045.jpg,"કાળા રંગનો એક માણસ એક વિચિત્ર ચાંદીની વસ્તુ પાસે પહોંચે છે જેમાં એક વ્યક્તિ હોય છે, જ્યારે ઘણા દર્શકો દોરડાથી બંધાયેલા અવરોધ પાછળથી અવલોકન કરે છે.",કાળા પોશાક પહેરેલો એક માણસ મોટરસાઇકલ ચલાવી રહ્યો છે.
1011572216.jpg,ઈંટના મકાનની બાજુમાં આવેલા રસ્તા પર ધ્યાન ભંગ કરીને બાજુ-બાજુ ચાલતા કન્યા અને વરરાજા.,એક પુરુષ અને સ્ત્રી લગ્ન કરી રહ્યા છે.
1012150929.jpg,એક નાનો છોકરો મેકડોનાલ્ડ્સની અંદર નિન્ટેન્ડો ગેમક્યુબ કંટ્રોલર સાથે રમે છે.,એક નાનો છોકરો વિડીયો ગેમ રમી રહ્યો છે.
1012212859.jpg,ભૂરા કાનવાળો સફેદ કૂતરો પાણીની નજીક માથું એક બાજુ ફેરવીને ઊભો છે.,એક સફેદ કૂતરો દરિયા કિનારે લાલ બોલ સાથે રમે છે.
1012328893.jpg,રમતના મેદાનની સામે પિકનિક ટેબલ પર પિકનિક મનાવતા લોકોનું એક જૂથ.,એક પાર્કમાં લોકોનો એક સમૂહ.
101262930.jpg,"કાર પસાર થતી વખતે કાચની બારી સામે બે એશિયન કે સ્પેનિશ લોકો, એક સ્ત્રી અને એક પુરુષ, સાથે બેઠા છે.",એક પુરુષ અને એક સ્ત્રી બહાર બેઠા છે.
1013536888.jpg,"સ્ત્રીઓ પિકનિક ટેબલ પર બેઠી છે અને ખાતી દેખાય છે, જ્યારે સફેદ ટી-શર્ટ પહેરેલો અને માથા પર પીળા અને નારંગી રંગના ફુગ્ગાની ડિઝાઇનવાળો એક પુરુષ પૃષ્ઠભૂમિમાં ઊભો છે.",બે વૃદ્ધ સ્ત્રીઓ એક ટેબલ પર બેઠી છે અને બીજી બાજુ જોઈ રહી છે.
101362133.jpg,એક યુવાન વિદ્યાર્થીની તેના કરાટે પ્રશિક્ષક દ્વારા પકડેલા બોર્ડને તોડવા માટે નીચે તરફ કિક મારી રહી છે.,બે બાળકો માર્શલ આર્ટ્સ સ્પર્ધામાં ભાગ લે છે.
101362650.jpg,બે લોકો ભીડ સમક્ષ માર્શલ આર્ટ્સનું પ્રદર્શન કરી રહ્યા છે અને સાદડી પર બેઠેલા ત્રણ યુવાનો પર કૂદી રહ્યા છે.,બે પુરુષો માર્શલ આર્ટ્સ મેચમાં ભાગ લે છે.
1014609273.jpg,બે બાલ્કનીમાં બેઠેલા લોકો અને એક માણસ નીચેની બાલ્કની તરફ પાઇપ ઉપર ચઢી રહ્યો છે જેના પર પ્રવાહી રેડાઈ રહ્યું છે.,એક માણસ અને એક નાનો છોકરો સીડી પર બેઠા છે.
101471792.jpg,લાલ જેકેટ પહેરેલો એક માણસ સૂર્યથી પોતાને બચાવીને કાગળ વાંચવાનો પ્રયાસ કરી રહ્યો છે.,લાલ કોટ પહેરેલો એક માણસ ફોટો લઈ રહ્યો છે.
1014785440.jpg,એક સરસ વિસ્તારમાં તડકાના દિવસે બે માણસો બાળકોને પીઠ પર લઈને રસ્તા પર ચાલી રહ્યા છે.,એક પુરુષ અને એક સ્ત્રી રસ્તા પર ચાલી રહ્યા છે.
1015118661.jpg,સફેદ શર્ટ અને વાદળી જીન્સ પહેરેલો હસતો છોકરો રોક વોલની સામે અને તેની પાછળ ઓવરઓલ પહેરેલો માણસ.,એક નાનો છોકરો અને એક છોકરી બહાર રમી રહ્યા છે.
1015584366.jpg,વાદળી કોલરમાં એક કાળો અને રાખોડી કૂતરો પડી ગયેલા ઝાડ પર કૂદકો મારતો.,એક કાળો કૂતરો લાકડાના લાકડા પર કૂદી પડે છે.
101559400.jpg,"બિઝનેસ સુટ પહેરેલા પુરુષો શેરી પાર કરી રહ્યા છે, અને રસ્તા પર પ્લેકાર્ડ સાથે લોકો ભેગા થઈ રહ્યા છે.",શહેરના એક વ્યસ્ત રસ્તા પર ઘણા લોકો ઉભા છે.
1015712668.jpg,લાલ લાંબી બાંયનો શર્ટ પહેરેલો એક માણસ પુલ પર પાણીના ઢગલા પર સાયકલ ચલાવી રહ્યો છે.,લાલ શર્ટ પહેરેલો એક માણસ બાઇક ચલાવી રહ્યો છે.
10160966.jpg,ઓલિવ ગ્રીન શોર્ટ્સ પહેરેલો એક ઉઘાડા પગનો માણસ વાદળી પ્લાસ્ટિકનો કપ પકડીને નાના પ્રોપેન ગ્રીલ પર હોટડોગ્સ ગ્રીલ કરી રહ્યો છે.,એક માણસ ગ્રીલ પર રસોઈ બનાવી રહ્યો છે.
101654506.jpg,સફેદ અને ભૂરા રંગનો કૂતરો બરફની સપાટી પર દોડી રહ્યો છે.,બરફમાં દોડતો કૂતરો.
1016626169.jpg,મોટી ભીડમાં રહેલા કેટલાક લોકોનું ધ્યાન સ્કૂટર પર સવાર એક માણસ તરફ ખેંચાય છે.,શહેરની શેરીમાં ઘણા લોકો ઉભા છે.
101669240.jpg,સ્કી પહેરેલી એક વ્યક્તિ બરફમાં ગોઠવાયેલા ફ્રેમવાળા ચિત્રો જોઈ રહી છે.,વાદળી ટોપી પહેરેલો એક માણસ બરફમાં ઊભો છે.
1016887272.jpg,લાલ રંગનો માણસ જોઈ રહ્યો છે અને દોરી પકડી રહ્યો છે ત્યારે એક પંક્તિમાં ઘણા પર્વતારોહકો ખડક પર ચઢી રહ્યા છે.,બે માણસો એક ખડક પર ચઢી રહ્યા છે.
1017675163.jpg,"એક યુવાન જિમ્નાસ્ટ, બેલેન્સ બીમ પર પ્રદર્શન કરતી વખતે હવામાં ઊંચે કૂદકો મારે છે.",એક જિમ્નાસ્ટ બાર ઉપર કૂદી પડે છે.
1018057225.jpg,કાળી ટી-શર્ટ અને વાદળી જીન્સ પહેરેલો એક છોકરો એક નાનકડા પૂલની આસપાસ રમકડાના થ્રી વ્હીલરને ધક્કો મારી રહ્યો છે.,એક નાનો છોકરો સ્લાઇડ પરથી નીચે જઈ રહ્યો છે.
1018148011.jpg,કપાસ ભરેલા ટ્રકની પાછળ લોકોનું એક જૂથ ઊભું છે.,ત્રણ માણસો એક ટ્રક પાસે ઉભા છે.
101859883.jpg,લાલ જેકેટ અને હેડસ્કાર્ફ પહેરેલી એક મહિલા વ્યુઇંગ ડેક પર પે બાયનોક્યુલરના સેટ દ્વારા ખાડીના મનોહર દૃશ્યને જોઈ રહી છે.,લાલ કોટ પહેરેલી એક સ્ત્રી ટેલિસ્કોપ દ્વારા જોઈ રહી છે.
10188041.jpg,કાળા કોટમાં એક માણસ લાલ સ્પેસશીપ પાસેથી પસાર થઈ રહ્યો છે અને તેની બારી પર પાર્કિંગ ટિકિટ ચોંટાડી રહ્યો છે.,કાળા પોશાક પહેરેલો એક માણસ નારંગી રંગની વસ્તુ તરફ જોઈ રહ્યો છે.
1019077836.jpg,ઘાસમાં છંટકાવ કરનારથી ભાગતો મોટો ભૂરો કૂતરો.,એક ભૂરા રંગનો કૂતરો ઘાસ પર દોડી રહ્યો છે.
101958970.jpg,એક સુપરમાર્કેટમાં એક માણસ અને એક નાની છોકરી ખુશીથી પોતાની ગાડી સામે પોઝ આપી રહ્યા છે.,એક પુરુષ અને એક સ્ત્રી કરિયાણાની દુકાનમાં છે.
1019604187.jpg,એક કૂતરો નજીકના કારવાળા ખેતરમાં ફેંકાયેલી વસ્તુને પકડવાની તૈયારી કરે છે.,એક સફેદ કૂતરો પીળા બોલનો પીછો કરી રહ્યો છે.
102030371.jpg,લીલો શર્ટ અને ઘેરા રંગનો વેસ્ટ પહેરેલો એક માણસ ટેબલ પર પાણીનો ગ્લાસ લઈને બેઠો છે.,લીલા શર્ટમાં એક માણસ ટેબલ પર બેઠો છે.
1020651753.jpg,એક સફેદ કૂતરો ઘાસના મેદાનમાં હવામાં બોલ પકડવાનો પ્રયાસ કરી રહ્યો છે.,એક કૂતરો બોલ પકડવા માટે કૂદી પડે છે.
1021293940.jpg,બે માણસો એક જંગલમાં હાઇકિંગ કરી રહ્યા છે જ્યાં બરફ જમીનને આંશિક રીતે ઢાંકી રહ્યો છે.,એક પુરુષ અને એક સ્ત્રી બરફીલા ટેકરી પર ઉભા છે.
1021332107.jpg,"ચહેરાના વાળ અને ચશ્માવાળા એક વૃદ્ધ માણસ, તેમના લિવિંગ રૂમમાં કાચના દરવાજાવાળા હચ કેબિનેટ હાથમાં ઉભો છે.",કાળા શર્ટ પહેરેલો એક માણસ ટેબલ પર બેઠો છે.
1021439420.jpg,"બે છોકરાઓ જમીન પર બેઠા છે, અને લીલા જેકેટમાં રહેલો એક માણસ કાગળ વાંચી રહ્યો છે.",બે માણસો જમીન પર સૂઈ રહ્યા છે.
1021442086.jpg,"ચશ્મા, લાલ શર્ટ અને ટોપી પહેરેલો એક દાઢીવાળો માણસ કારમાં બેસીને નકશો વાંચી રહ્યો છે.",લાલ શર્ટ પહેરેલો એક માણસ કારમાં સૂઈ રહ્યો છે.
1022454332.jpg,એક મોટું તળાવ જેમાં એકલું બતક તરતું હોય છે અને તેની આસપાસ ઘણા લોકો હોય છે.,એક સ્ત્રી અને એક છોકરો તળાવ પાસે ઉભા છે.
1022454428.jpg,"એક દંપતિ અને એક બાળક, નર દ્વારા પકડાયેલા, નજીકના સ્ટ્રોલર સાથે તળાવ પાસે બેઠા છે.",એક સ્ત્રી અને એક બાળક ઝાડ પાસે બેઠા છે.
102268204.jpg,રાત્રે સાયકલથી ભરેલા આશ્રયસ્થાન પાસે કાળી કાર પાસે ત્રણ માણસો ઉભા છે.,રાત્રે એક જૂની કાર પાર્ક કરેલી છે.
1022975728.jpg,ટૅગ્સવાળી કાળી પ્રયોગશાળા પાણીમાં મસ્તી કરી રહી છે.,એક કાળો કૂતરો પાણીમાં દોડી રહ્યો છે.
102351840.jpg,એક માણસ તળાવના થીજી ગયેલા બરફમાંથી ખોદકામ કરી રહ્યો છે.,એક માણસ બરફમાં બે કૂતરાઓ સાથે રમી રહ્યો છે.
1024138940.jpg,ભૂરા અને સફેદ કૂતરાઓની બે અલગ અલગ જાતિઓ બીચ પર રમે છે.,એક ભૂરા રંગનો કૂતરો દરિયા કિનારે દોડી રહ્યો છે.
102455176.jpg,વાદળી જેકેટ અને કાળા પેન્ટમાં એક બરફ ચઢનાર થીજી ગયેલી બરફની દિવાલ પર ચઢી રહ્યો છે.,એક માણસ બરફીલા પર્વત પર ચઢી રહ્યો છે.
1024613706.jpg,બે યુવાનો અને એક યુવતી પાણીની નજીકના ખેતરમાંથી પસાર થઈ રહ્યા છે.,ત્રણ લોકો ખેતરમાં ચાલી રહ્યા છે.
102520526.jpg,"કાળા પોશાક પહેરેલો એક માણસ બધી જાહેર સલામતીની અવગણના કરીને, શેરીમાં બરફ ફેંકી રહ્યો છે.",એક માણસ ફૂટપાથ સાફ કરી રહ્યો છે.
102575576.jpg,લગ્નના પોશાકમાં એક યુગલ લગ્નના કેક અને ફૂલો સાથે ટેબલ પાછળ ઊભું છે.,કન્યા અને વરરાજા લગ્ન કરી રહ્યા છે.
102617084.jpg,"પાંચ સ્નોમોબાઇલ સવારો, જે બધાએ હેલ્મેટ અને ગોગલ્સ પહેર્યા છે, તેઓ તેમના સ્નોમોબાઇલની સામે જંગલમાં બરફથી ઢંકાયેલા વિસ્તારમાં લાઇનમાં ઉભા છે; તેઓ બધા કાળા સ્નો પેન્ટ પહેરેલા છે અને ડાબેથી જમણે તેઓ કાળો કોટ, સફેદ કોટ, લાલ કોટ, વાદળી કોટ અને કાળો કોટ પહેરેલા છે.",ત્રણ લોકો બરફમાં ઉભા છે.
1026685415.jpg,એક કાળો કૂતરો ઘાસમાંથી પસાર થતો હોય ત્યારે તેના મોંમાં લીલું રમકડું હોય છે.,એક કાળો કૂતરો લીલા ઘાસમાંથી પસાર થઈ રહ્યો છે.
1026792563.jpg,સ્ત્રીઓ અને બાળકોનું જૂથ શાકભાજીની હરોળની સામે ઊભું છે અથવા બેઠેલું છે.,ઘણા લોકો બહારના બજારમાં ખરીદી કરી રહ્યા છે.
1027149103.jpg,પ્રેક્ષકોની સામે એક બેન્ડ વાગી રહ્યું છે અને ગાયકે નારંગી રંગનો શર્ટ પહેર્યો છે અને તેના હાથ પર ટેટૂ છે.,પીળા ટી-શર્ટ પહેરેલો એક માણસ લોકોના ટોળા સામે ઊભો છે.
1027211271.jpg,"ટૂંકા સોનેરી વાળવાળી એક યુવતી, જીન્સ અને પટ્ટાવાળી લાંબી બાંયનું સ્વેટર પહેરીને, સ્કેટબોર્ડ પર હવામાં કૂદી રહી છે અને પૃષ્ઠભૂમિમાં વૃક્ષો છે.",એક છોકરો સ્કેટબોર્ડ પર કૂદી પડે છે.
1028205764.jpg,વાદળી લાઇફ જેકેટ પહેરેલો એક માણસ અને એક નાનો છોકરો પીળા રંગની નાવડી ચલાવી રહ્યા છે.,લાઇફ જેકેટ પહેરેલો એક માણસ અને એક નાનો છોકરો પાણીમાં પીળા કાયકમાં બેઠા છે.
102851549.jpg,એક નાનો છોકરો કેમેરા તરફ જોઈ રહ્યો છે જ્યારે તેની પાછળ એક સ્ત્રી ખૂબ જ જોરથી હસતી હોય તેવું લાગે છે અને જમણી બાજુની સ્ત્રીના ચહેરા પર મોટું સ્મિત છે.,એક સ્ત્રી અને એક છોકરો બેન્ચ પર બેઠા છે.
102860573.jpg,રસ્તા પર એક બાંધકામ સ્થળ જ્યાં ત્રણ માણસો કામ કરી રહ્યા છે.,બાંધકામ કામદારો કામ કરી રહ્યા છે.
10287332.jpg,બે માણસો ઘરની છત પર બેઠા છે જ્યારે બીજો એક સીડી પર ઊભો છે.,ત્રણ માણસો છત પર કામ કરી રહ્યા છે.
1028982826.jpg,"બે માણસો, એક નાનો છોકરો પીળો શર્ટ પહેરેલો છે અને તેની પાસે સામાન છે અને બીજો મોટી ઉંમરનો છોકરો, એક મોટી ઇમારતની સામે બેન્ચ પર બેઠા છે જ્યાં ચશ્મા અને સનગ્લાસ માટે બિલબોર્ડ છે.",એક પુરુષ અને એક સ્ત્રી બેન્ચ પર બેઠા છે.
1029450589.jpg,લાલ બાંયવાળો રાખોડી શર્ટ પહેરેલો એક પુખ્ત વ્યક્તિ સોફા પર સૂઈ રહ્યો છે.,એક સ્ત્રી સોફા પર સૂઈ રહી છે.
1029737941.jpg,ભીડમાં હેડફોન લગાવીને ભૂરા રંગનો શર્ટ પહેરેલો છોકરો સ્ત્રીના ખભા પર બેઠો છે.,કાળા શર્ટ પહેરેલો એક માણસ લોકોના ટોળા સામે ઊભો છે.
1029802110.jpg,"એક એશિયન શહેરમાં ગે પ્રાઇડ પરેડ દરમિયાન, કેટલાક લોકો સમર્થન દર્શાવવા માટે મેઘધનુષ્ય ધ્વજ પકડી રાખે છે.",ઘણા લોકો પરેડમાં કૂચ કરી રહ્યા છે.
102998070.jpg,"વાદળી સ્વેટર પહેરેલો એક યુવાન માછલી સાફ કરી રહ્યો છે જ્યારે ત્રણ બીજા માણસો જોઈ રહ્યા છે, એક માણસ સિગારેટ અથવા માચીસ પી રહ્યો છે.",ત્રણ માણસો માછલી કાપી રહ્યા છે.
1030041880.jpg,વાદળી છતવાળા રૂમમાં બેન્ડના સાધનો તૈયાર થઈ રહ્યા હતા ત્યારે લીલા ડ્રેસમાં સફેદ ટોપ અને લાલ વાળ સાથે ગાયન કરતી સ્ત્રી.,લીલા રંગના ડ્રેસમાં એક સ્ત્રી માઇક્રોફોનમાં ગીત ગાઈ રહી છે.
103031977.jpg,ઈંટના મકાનની બહાર કોંક્રિટના પગથિયાં પર બેઠેલા ચાર કોલેજ વયના વ્યક્તિઓ - બે પુરુષો અને બે સ્ત્રીઓ,ત્રણ સ્ત્રીઓ પગથિયાં પર બેઠી છે.
1030985833.jpg,ચોકલેટ લેબ રમકડું મેળવવા માટે ખૂબ મોડું કૂદી પડે છે કારણ કે બ્લેક લેબ તેને ડ્રાઇવ વેમાં પકડી લે છે.,એક ભૂરા રંગનો કૂતરો અને એક કાળો કૂતરો મોંમાં લાલ બોલ લઈને દોડી રહ્યા છે.
103106960.jpg,જમણા હાથમાં હોકી સ્ટીક સાથે હોકી ગોલ સામે ઘૂંટણિયે બેઠેલો એક યુવાન પુરુષ.,એક યુવાન છોકરી હોકી રમી રહી છે.
103195344.jpg,બેકપેક સાથેનો માણસ એક આર્ટ સ્કલ્પચરની સામે બિલ્ડિંગના પ્રાંગણમાં બેઠો છે.,કાળા પોશાક પહેરેલો એક માણસ એક મોટી ઇમારતની સામે બેઠો છે.
1031973097.jpg,"વાદળી શર્ટ પહેરેલું એક નાનું બાળક, લાલ શોર્ટ્સ અને ટોપી સાથે, ઈંટના પેશિયોની વાડવાળી જગ્યા પાછળથી જોઈ રહ્યું છે.",લાલ ટોપી પહેરેલો એક નાનો છોકરો સીડી પર ઊભો છે.
